Field Identification,,,,Field Type,,,ICH,,Post-Market,,Pre-Market (IND and IND-exempt BA/BE),,VAERS,,,,,Type of Change,Q&A,Null Flag Applicable,,,,,,,,,Field OIDs,HL7 Data Type,,Xpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.2,C.2.r.2.3 ,Reporter’s Street,100,AN,"Free Text  nullFlavor: MSK, ASKU, NASK",Optional,See the business rules for C.2.r.,-,-,-,-,,,,Conditional-Mandatory,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,Yes,No,No,Yes,Yes,No,No,No,-,Postal Address (AD),streetAddressLine=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/streetAddressLine[1]/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/streetAddressLine[1]/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.2 ,C.2.r.2.4 ,Reporter’s City,35,AN,"Free Text  nullFlavor: MSK, ASKU, NASK",Optional,See the business rules for C.2.r.,-,-,-,-,,,"Free Text 
nullFlavor: MSK, ASKU, NASK, UNK",Conditional-Mandatory,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,Yes,No,No,Yes,Yes,No,No,No,-,Postal Address (AD),city=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/city[1]/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/city[1]/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.2 ,C.2.r.2.5,Reporter’s State or Province,40,AN,"Free Text  nullFlavor: MSK, ASKU, NASK",Optional,See the business rules for C.2.r.,-,-,-,-,,,"Free Text 
nullFlavor: MSK, ASKU, NASK, UNK",Conditional-Mandatory,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""","Regional differences to the ICH business rules, field lengths, and nulflavors",,Yes,Yes,No,No,Yes,Yes,No,No,No,-,Postal Address (AD),state=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/state[1]/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/state[1]/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.2 ,C.2.r.2.6 ,Reporter’s Postcode,15,AN,"Free Text  nullFlavor: MSK, ASKU, NASK",Optional,See the business rules for C.2.r.,-,-,-,-,,,,Conditional-Mandatory,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,Yes,No,No,Yes,Yes,No,No,No,-,Postal Address (AD),postalCode=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/postalCode[1]/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/postalCode[1]/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.2 ,C.2.r.2.7 ,Reporter’s Telephone,33,AN,"Free Text  nullFlavor: MSK, ASKU, NASK",Optional,See the business rules for C.2.r.,-,-,-,-,,,,Conditional-Mandatory,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""
 
When submitting a nullflavor response also include the telecom prefix within the value attribute to correctly reference the related telecom type, as shown in examples:
<telecom value=“tel:1112223333”/>
<telecom nullflavor=“NASK” value=“tel”/>

Note: Nullflavor should have value of ""tel"" only and without "":""","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,Yes,No,No,Yes,Yes,No,No,No,-,Telecommunication Address (TEL),,"substring(/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value,'tel:')][1]/@value, 5)","/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value,'tel')][1]/@nullFlavor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA,C.2.r.2,FDA.C.2.r.2.8,Reporter's Email,100,AN,"Free Text 
nullFlavor: MSK, ASKU, NASK",-,-,Required,"When submitting a nullflavor response also include the telecom prefix within the value attribute to correctly reference the related telecom type, as shown in examples: 
<telecom value=“mailto:email@address.com”/>
<telecom nullflavor=“NASK” value=“mailto”/>
 
Note: Nullflavor should have value of ""mailto"" only and without "":""",Required,"When submitting a nullflavor response also include the telecom prefix within the value attribute to correctly reference the related telecom type, as shown in examples: 
<telecom value=“mailto:email@address.com”/>
<telecom nullflavor=“NASK” value=“mailto”/>
 
Note: Nullflavor should have value of ""mailto"" only and without "":""",,,"Free Text 
nullFlavor: MSK, ASKU, NASK",Mandatory,"Regionally required for all reports.  MSK is not allowed for US cases for the primary reporter for the regulatory purposes.  
 
When submitting a nullflavor response also include the telecom prefix within the value attribute to correctly reference the related telecom type, as shown in examples: 
<telecom value=“mailto:email@address.com”/>
<telecom nullflavor=“NASK” value=“mailto”/>
 
 Note: Nullflavor should have value of ""mailto"" only and without "":""

",FDA regional data element,,No,Yes,No,No,Yes,Yes,No,No,No,"2.16.840.1.113883.3.989.2.1.1.22

",Telecommunication Address (TEL),,"substring(/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ']/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value,'mailto:')]/@value, 8)","substring(/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ']/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value,'mailto')]/@nullFlavor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r ,C.2.r.3 ,Reporter’s Country Code,2,A,"ISO 3166-1 alpha-2, EU",Conditional-Required,"Optional, but required if C.2.r.5 = 1.

A two character country code will be used in all instances.
The country code EU exists in the ISO 3166 country code list as an exceptional reservation code to support any application that needs to represent the name European Union.In this case, ‘EU’ will be accepted as the country code.",-,-,-,-,,,"ISO 3166-1 alpha-2, EU
nullFlavor: MSK, ASKU, NASK, UNK",,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""","Regional differences to the ICH business rules, field lengths, and nulflavors",4.1 (009),No,Yes,Yes,No,Yes,Yes,No,No,No,1.0.3166.1.2.2,Concept Descriptor (CD),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/asLocatedEntity[@classCode='LOCE'][1]/location[@classCode='COUNTRY'][@determinerCode='INSTANCE']/code[@codeSystem='1.0.3166.1.2.2']/@code,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/asLocatedEntity[@classCode='LOCE'][1]/location[@classCode='COUNTRY'][@determinerCode='INSTANCE']/code/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r ,C.2.r.4,Qualification,1,N,"
1=Physician
2=Pharmacist
3=Other health professional
4=Lawyer
5=Consumer or other non health professional  
nullFlavor:UNK

",Conditional-Required,"Optional, but required if C.2.r.5 = 1.

If the reporter's qualification is unknown to the sender, this data element should be left blank with nullFlavor = UNK.   Please see section 3.3.6 for further guidance on the use of nullFlavor to describe missiong or non-transmitted information.",-,-,-,-,10,AN,"1=Physician 
2=Pharmacist 
3=Other health professional 
4=Lawyer 
5=Consumer or other non health professional  
nullFlavor:UNK 
C16960 = Patient
C42709 = Parent",Conditional-Required,,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,Yes,No,No,No,No,No,No,"2.16.840.1.113883.3.989.2.1.1.6, 
2.16.840.1.113883.3.26.1.1 ",Coded With Equivalents (CE),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/asQualifiedEntity[@classCode='QUAL'][1]/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.6']/@code,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/asQualifiedEntity[@classCode='QUAL'][1]/code/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r ,C.2.r.5 ,Primary Source for Regulatory Purposes,1,N,1=primary,Conditional-Required,"It is required that one Primary Source of Information (C.2) be flagged as Primary source for regulatory purposes.  Therefore this data element must be set to '1' once, and only once, for C.2 block in each ICH ICSR message.  Do not use this element to rank sources either sequentially, chronologically, or heirarchically.",-,-,-,-,,,,,,Conforms with ICH business rules,4.11 (030),No,No,No,No,No,No,No,No,No,-,Real Number (REAL),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/priorityNumber/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3 ,(Header),Information on Sender of Case Safety Report,-,-,-,-,-,-," Note: Nullflavor should have value of ""mailto"" only and without "":""",-," Note: Nullflavor should have value of ""mailto"" only and without "":""",,-,,,,-,4.11 (030),-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3 ,C.3.1 ,Sender Type,1,N,"1=Pharmaceutical Company 
2=Regulatory Authority 
3=Health Professional 
4=Regional Pharmacovigilance Centre 
5=WHO collaborating centres for international drug monitoring 
6=Other (e.g. distributor or other organisation) 
7=Patient / Consumer ",Required ,-,-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.7,Coded With Equivalents (CE),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3 ,C.3.2 ,Sender’s Organisation,100,AN,Free Text,Conditional-Required,Required if the ‘Sender Type’ (C.3.1) is not coded as 7 (Patient / Consumer).,-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,Organization Name (ON),"name=
Character String (ST)",/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/representedOrganization[@classCode='ORG'][@determinerCode='INSTANCE']/assignedEntity[@classCode='ASSIGNED']/representedOrganization[@classCode='ORG'][@determinerCode='INSTANCE']/name/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.3,(Header),Person Responsible for Sending Report,-,-,-,-,"Depending on the local legal requirements regarding confidentiality, it might be necessary to omit some of the elements used to identify the person responsible for sending the report in the transmitted message.",-,-,-,-,,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.3 ,C.3.3.1 ,Sender’s Department,60,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Organization Name (ON),"name=
Character String (ST)",/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/representedOrganization[@classCode='ORG'][@determinerCode='INSTANCE']/name/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.3 ,C.3.3.2,Sender’s Title,50,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Person Name (PN),prefix=Entity Name Part (ENXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/prefix[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
